,listing__statPrice,product_subtitle,Model,Box,Papers,Age,Movement,ConditionGrade,CaseSize,Case,Dial,Bracelet,LOT,Location,Seller
44,34131.85625,Daytona,116518LN,Yes,Yes,2022,automatic,AAA,40mm,YellowGold,Gold,BlackOysterFlex,#004188,"London,UnitedKingdom",
45,13355.94375,Submariner,126613LN,Yes,Yes,2021,automatic,AA,41mm,StainlessSteelAndYellowGold,Black,SteelAndYellowGoldOyster,#004186,"Jersey,Jersey",
46,25524.6925,GMT-Master,16758,Yes,Yes,1984,automatic,AA,40mm,YellowGold,Black,YellowGoldJubilee,#004180,"Jersey,Jersey",
47,12671.80975,Day-Date,18038,Yes,Yes,1986,automatic,A,36mm,YellowGold,ChampagneBaton,YellowGoldPresident,#004178,"London,UnitedKingdom",
48,11669.852700000001,Submariner,124060,Yes,Yes,2021,automatic,A,41mm,StainlessSteel,Black,StainlessSteelOyster,#004177,"London,UnitedKingdom",
49,19449.754500000003,Daytona,116520,Yes,Yes,2008,automatic,A,40mm,StainlessSteel,BlackBaton,StainlessSteelOyster,#004176,"London,UnitedKingdom",
50,18919.306650000002,Submariner,116610LV,Yes,Yes,2014,automatic,A,40mm,StainlessSteel,Green,StainlessSteel,#004174,"London,UnitedKingdom",
51,19449.754500000003,GMT-MasterII,126711CHNR,Yes,Yes,2021,automatic,AA,40mm,StainlessSteelandRoseGold,Black,SteelandRoseGoldOyster,#004172,"StratforduponAvon,UnitedKingdom",
52,7603.08585,OysterPerpetual41,124300,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,BlackBaton,StainlessSteelOyster,#004171,"London,UnitedKingdom",
53,17535.5375,Submariner,126613LB,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteelAndYellowGold,Blue,SteelAndYellowGoldOyster,#004168,"Kingswinford,WestMidlands,UnitedKingdom",
54,12839.58,Submariner,124060,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#004168,"London,UnitedKingdom",
55,47851.2125,Daytona,116505,Yes,Yes,2021,automatic,AAA,40mm,RoseGold,SundustwithBaguette,RoseGoldOyster,#004165,"London,UnitedKingdom",
56,21399.3,Daytona,116518,Yes,Yes,2001,automatic,A,40mm,YellowGold,BlackBaton,BlackAlligator,#004160,"London,UnitedKingdom",
57,38967.22725,GMT-MasterII,126719BLRO,Yes,Yes,2021,automatic,AAA,40mm,WhiteGold,Blue,WhiteGoldOyster,#004158,"London,UnitedKingdom",
58,20822.182500000003,Daytona,116520,Yes,Yes,2011,automatic,A,40mm,StainlessSteel,BlackBaton,StainlessSteelOyster,#004155,"London,UnitedKingdom",
59,10113.631500000001,OysterPerpetual41,124300,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,GreenBaton,StainlessSteelOyster,#004151,"London,UnitedKingdom",
60,6250.3695,Lady-Datejust,279160,Yes,Yes,2022,automatic,AAA,28mm,StainlessSteel,PinkBaton,StainlessSteelOyster,#004145,"London,UnitedKingdom",
61,46651.64625,Day-Date40,228235,Yes,Yes,2022,automatic,AAA,40mm,RoseGold,SundustwithBaguette,RoseGoldPresident,#004141,"Lausanne,Switzerland,Switzerland",
62,21522.49875,Daytona,116520,Yes,Yes,2003,automatic,A,40mm,StainlessSteel,WhiteBaton,StainlessSteelOyster,#004137,"London,UnitedKingdom",
63,16510.41,Submariner,126610LV,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#,"Shrewsbury,Shropshire,UnitedKingdom",
64,19911.07675,GMT-MasterII,126711CHNR,Yes,Yes,2022,automatic,AA,40mm,StainlessSteelandRoseGold,Black,StainlessSteelOyster,#,"London,UnitedKingdom",
65,31203.926249999997,Sky-Dweller,326139,Yes,Yes,2020,automatic,AAA,42mm,WhiteGold,BlackArabicNumeral,BlackAlligator,#004133,"London,UnitedKingdom",
66,11055.1053,Yacht-Master40,126622,Yes,Yes,2020,automatic,AAA,40mm,StainlessSteelandPlatinum,Blue,StainlessSteelOyster,#004132,"London,UnitedKingdom",
67,20816.232500000002,Sky-Dweller,326934,Yes,Yes,2018,automatic,AAA,42mm,StainlessSteelandWhiteGold,BlueBaton,StainlessSteelOyster,#004119,"London,UnitedKingdom",
68,16058.2365,GMT-MasterII,126710BLNR,Yes,Yes,2021,automatic,AAA,40mm,StainlessSteel,Black,StainlessSteelJubilee,#004118,"London,UnitedKingdom",
69,9182.93228,Datejust36,126234,Yes,Yes,2021,automatic,A,36mm,StainlessSteelandWhiteGold,Pink'Jubilee'withDiamond,StainlessSteel,#004117,"London,UnitedKingdom",
70,11929.9026,Datejust36,126234,Yes,Yes,2022,automatic,AAA,36mm,StainlessSteelandWhiteGold,SilverBaton,StainlessSteelOyster,#,"Woerden,Netherlands",
71,19628.87275,GMT-MasterII,126711CHNR,Yes,Yes,2022,automatic,AA,40mm,StainlessSteelandRoseGold,Black,SteelandRoseGoldOyster,#004106,"London,UnitedKingdom",
72,13476.539499999999,Yacht-Master40,116621,Yes,Yes,2017,automatic,A,40mm,StainlessSteelandRoseGold,Chocolate,SteelandRoseGoldOyster,#004104,"Surrey,UnitedKingdom",
73,15092.812500000002,Sea-Dweller,126603,Yes,Yes,2020,automatic,AAA,43mm,StainlessSteelandYellowGold,Black,SteelandYellowGold,#004099,"London,UnitedKingdom",
74,11837.5,Submariner,126610LN,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#004584,"London,UnitedKingdom",
75,23201.5,Yacht-Master40,116655,Yes,Yes,2018,automatic,A,40mm,RoseGold,Black,BlackRubber,#,"London,UnitedKingdom",
76,4364.3128,OysterPerpetual28,276200,Yes,Yes,2021,automatic,A,28mm,StainlessSteel,BlackBaton,StainlessSteelOyster,#004092,"Dunstable,Staffordshire,UnitedKingdom",
77,9622.266528,Explorer,124273,Yes,Yes,2021,automatic,AAA,36mm,StainlessSteelandYellowGold,BlackArabicNumeral,SteelandYellowGoldOyster,#004089,"LakeNeuchâtel,Switzerland",
78,17103.388,Submariner,126610LV,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#004087,"London,UnitedKingdom",
79,21699.699,Submariner,116610LV,Yes,Yes,2015,automatic,AA,40mm,StainlessSteel,Green,StainlessSteelOyster,#004039,"Woerden,Netherlands",
80,43328.1996,Sky-Dweller,326938,Yes,Yes,2022,automatic,A,42mm,YellowGold,ChampagneBaton,YellowGold,#,"Paisley,Scotland,UnitedKingdom",
81,11094.821999999998,Submariner,114060,Yes,Yes,2019,automatic,AAA,40mm,StainlessSteel,Black,StainlessSteelOyster,#004079,"Surrey,UnitedKingdom",
82,11328.3972,Datejust41,126300,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,MintGreenBaton,StainlessSteelOyster,#004076,"Bedfordshire,UnitedKingdom",
83,18121.2141,GMT-MasterII,126711CHNR,Yes,Yes,2019,automatic,A,40mm,StainlessSteelandRoseGold,Black,SteelandRoseGoldOyster,#004052,"TunbridgeWells,Kent,UnitedKingdom",
84,7408.0435,GMT-MasterII,16760,No,No,1987,automatic,B,40mm,StainlessSteel,Black,StainlessSteelOyster,#004057,"London,UnitedKingdom",
85,5413.57025,Datejust,16030,Yes,Yes,1986,automatic,A,36mm,StainlessSteelandWhiteGold,SilverBaton,StainlessSteelJubilee,#004073,"Dundee,Scotland,UnitedKingdom",
86,15422.9726,Sea-Dweller,126600,Yes,Yes,2020,automatic,AAA,43mm,StainlessSteel,Black,StainlessSteelOyster,#004062,"Surrey,UnitedKingdom",
87,14495.275,GMT-MasterII,116710BLNR,Yes,Yes,2017,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#004061,"Portsmouth,Hampshire,UnitedKingdom",
88,18204.0,GMT-MasterII'Pepsi',126710BLRO,Yes,Yes,2022,automatic,AAA,40mm,StainlessSteel,Black,StainlessSteelJubilee,#004053,"Oxford,Oxfordshire,UnitedKingdom",
89,10239.75,Deepsea,126660,No,No,2010's,automatic,A,44mm,StainlessSteel,D-blue,StainlessSteelOyster,#004050,"London,UnitedKingdom",
90,924.332111,OysterRoyal,6444,No,No,1950's,manual,B,31mm,StainlessSteel,Cream'Honeycomb',StainlessSteelOyster,#004037,"Newquay,UnitedKingdom",
91,14021.33616,Sea-Dweller,126603,Yes,Yes,2021,automatic,A,43mm,StainlessSteelandYellowGold,Black,SteelandYellowGoldOyster,#004030,"London,UnitedKingdom",
92,77646.986175,Daytona,116508,Yes,Yes,2022,automatic,AAA,40mm,YellowGold,GreenBaton,YellowGoldOyster,#,"London,UnitedKingdom",
93,10169.08365,Yacht-Master,16622,Yes,Yes,2013,automatic,A,40mm,StainlessSteelandPlatinum,Silver,StainlessSteelOyster,#004020,"Manchester,GreaterManchester,UnitedKingdom",
94,11605.3949,Submariner,124060,Yes,Yes,2020,automatic,A,41mm,StainlessSteel,Black,StainlessSteelOyster,#004018,"Newcastle,NewcastleUponTyne,UnitedKingdom",
95,13529.7275,GMT-Master,16750,Yes,Yes,1988,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#004014,"Newcastle-under-Lyme,UnitedKingdom",
96,12078.04,Deepsea,126660,Yes,Yes,2018,automatic,A,44mm,StainlessSteel,Black,StainlessSteelOyster,#004013,"Worcestershire,UnitedKingdom",
97,35910.183,Yacht-MasterII,116688,Yes,Yes,2012,automatic,A,44mm,YellowGold,White,YellowGoldOyster,#004002,"London,UnitedKingdom",
98,15328.46125,Submariner,16610LV,Yes,Yes,2006,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#004005,"StAlbans,Hertfordshire,UnitedKingdom",
99,32392.22,Yacht-Master37,268655,Yes,Yes,2021,automatic,A,37mm,RoseGold,Pavé,BlackOysterflex,#003093,"London,UnitedKingdom",
100,24992.108600000003,Yacht-Master40,126655,Yes,Yes,2020,automatic,A,40mm,RoseGold,Black,BlackRubber,#003090,"London,UnitedKingdom",
101,11234.984600000002,Datejust36,126233,Yes,Yes,2021,automatic,A,36mm,StainlessSteelandYellowGold,MotherofPearlwithDiamond,SteelandYellowGoldJubilee,#003086,"London,UnitedKingdom",
102,20922.29275,Daytona,116503,Yes,Yes,2022,automatic,AAA,40mm,StainlessSteelandYellowGold,WhiteBaton,SteelandYellowGoldOyster,#003085,"Scotland,UnitedKingdom",
103,11005.699200000001,Sea-Dweller,126600,Yes,Yes,2017,automatic,A,43mm,StainlessSteel,Black,StainlessSteelOyster,#003083,"Loughton,Essex,UnitedKingdom",
104,40005.198500000006,Daytona,116515LN,Yes,Yes,2021,automatic,AA,40mm,EveroseGold,BlackBaton,BlackOysterflex,#003075,"Leicestershire,UnitedKingdom",
105,6986.8234,OysterPerpetual41,124300,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,BlueBaton,StainlessSteelOyster,#003079,"Farnham,Surrey,UnitedKingdom",
106,5652.25,Datejust31,178274,Yes,Yes,2007,automatic,A,31mm,StainlessSteelandWhiteGold,RolexMotifwithDiamond,StainlessSteelJubilee,#003073,"London,UnitedKingdom",
107,20065.4875,GMT-MasterII,126711CHNR,Yes,Yes,2022,automatic,AAA,40mm,StainlessSteelandRoseGold,Black,SteelandRoseGoldOyster,#003068,"London,UnitedKingdom",
108,7886.039,Milgauss,116400GV,Yes,Yes,2011,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#003022,"Crewe,Cheshire,UnitedKingdom",
109,36050.464,Daytona,116519LN,Yes,Yes,2022,automatic,A,40mm,WhiteGold,Silver,BlackOysterflex,#003066,"London,UnitedKingdom",
110,24784.694,GMT,126720VNTR,Yes,Yes,2022,automatic,AAA,40mm,StainlessSteel,Black,StainlessSteelOyster,#003064,"London,UnitedKingdom",
111,27601.136499999997,Daytona,116500LN,Yes,Yes,2021,automatic,AAA,40mm,StainlessSteel,BlackBaton,StainlessSteelOyster,#003059,"Atherstone,Warwickshire,UnitedKingdom",
112,7823.052049999999,Datejust41,126300,Yes,Yes,2022,automatic,A,41mm,StainlessSteel,SilverBaton,StainlessSteelOyster,#003052,"London,UnitedKingdom",
113,11194.949999999999,Datejust36,126233,Yes,Yes,2022,automatic,AAA,36mm,StainlessSteelandYellowGold,SlateRomanNumeral,SteelandYellowGoldJubilee,#003050,"London,UnitedKingdom",
114,14666.503995,Submariner,126613LN,Yes,Yes,2021,automatic,A,41mm,StainlessSteelandYellowGold,Black,SteelandYellowGoldOyster,#003048,"Sheffield,Yorkshire,UnitedKingdom",
115,10187.404499999999,Submariner,114060,Yes,Yes,2017,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#003047,"Darlington,CountyDurham,UnitedKingdom",
116,10990.35,Submariner,114060,Yes,Yes,2019,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#003045,"Nurburg,Germany",
117,16974.765,Submariner,126610LV,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#003041,"Edinburgh,Scotland,UnitedKingdom",
118,14711.463,Submariner,126610LN,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#003038,"Surrey,UnitedKingdom",
119,17258.809401,Daytona,116503,Yes,Yes,2021,automatic,A,40mm,StainlessSteelandYellowGold,WhiteBaton,SteelandYellowGoldOyster,#003037,"Cheltenham,Gloucestershire,UnitedKingdom",
120,93927.033,Daytona,116506,Yes,Yes,2013,automatic,A,40mm,Platinum,IceBlueBaton,PlatinumOyster,#002744,"London,UnitedKingdom",
121,10049.859011,GMT-MasterII,16710,Yes,No,1991,automatic,A,40mm,StainlessSteel,Black,StainlessSteelJubilee,#003027,"London,UnitedKingdom",
122,19943.597069,Daytona,116503,Yes,Yes,2022,automatic,AAA,40mm,StainlessSteelandYellowGold,BlackBaton,SteelandYellowGoldOyster,#003026,"ChippingNorton,Oxfordshire,UnitedKingdom",
123,10028.2072,Cellini,50505,Yes,Yes,2017,automatic,A,39mm,RoseGold,BlackBaton,BlackAlligator,#003013,"Cheltenham,Gloucestershire,UnitedKingdom",
124,15214.46585,Sea-Dweller,116600,Yes,Yes,2015,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#003018,"Edinburgh,Scotland,UnitedKingdom",
125,13412.407766999999,Submariner,124060,Yes,Yes,2022,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#3014,"TunbridgeWells,Kent,UnitedKingdom",
126,25687.849,Daytona,116500LN,Yes,Yes,2022,automatic,A,40mm,StainlessSteel,BlackBaton,StainlessSteelOyster,#003011,"MeltonMowbray,Yorkshire,UnitedKingdom",
127,23705.417175,Daytona,116509,Yes,No,2006,automatic,A,40mm,WhiteGold,SilverRacingDial,WhiteGoldOyster,#002991,"London,UnitedKingdom",
128,41323.931,Daytona,116509,Yes,Yes,2020,automatic,A,40mm,WhiteGold,MotherofPearl/Meteorite,WhiteGoldOyster,#002962,"London,UnitedKingdom",
129,18712.155,Daytona,116503,Yes,Yes,2018,automatic,A,40mm,StainlessSteelandYellowGold,WhiteBaton,SteelandYellowGoldOyster,#003000,"London,UnitedKingdom",
130,16594.11,Yacht-Master37,268655,Yes,Yes,2020,automatic,A,37mm,RoseGold,Black,BlackOysterflex,#002975,"Brighton,EastSussex,UnitedKingdom",
131,18904.010112,Submariner,116610LV,Yes,Yes,2019,automatic,A,40mm,StainlessSteel,Green,StainlessSteelOyster,#002993,"London,UnitedKingdom",
132,27811.118239999996,Submariner,116618LN,No,No,2010's,automatic,A,40mm,YellowGold,Black,YellowGoldOyster,#002974,"London,UnitedKingdom",
133,16873.1766,Yacht-Master,16628,Yes,Yes,2004,automatic,A,40mm,YellowGold,White,YellowGoldOyster,#002977,"WestMidlands,UnitedKingdom",
134,7719.754,Air-King,116900,Yes,Yes,2021,automatic,AA,40mm,StainlessSteel,BlackArabicNumeral,StainlessSteelOyster,#002977,"London,UnitedKingdom",
135,9043.1404,Datejust31,178383,No,Yes,2014,automatic,A,31mm,Steel/YellowGold/Diamond,RolexMotifwithDiamond,SteelandYellowGoldJubilee,#002970,"London,UnitedKingdom",
136,9700.6875,Submariner,114060,Yes,Yes,2012,automatic,AA,40mm,StainlessSteel,Black,StainlessSteelOyster,#002963,"London,UnitedKingdom",
137,14135.287499999999,GMTMasterII,116710BLNR,Yes,Yes,2015,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#002961,"Loughton,Essex,UnitedKingdom",
138,22138.9938,Daytona,116503,Yes,Yes,2022,automatic,AA,40mm,StainlessSteelandYellowGold,WhiteBaton,SteelandYellowGoldOyster,#002959,"London,UnitedKingdom",
139,37730.615999999995,Daytona,116518LN,Yes,Yes,2021,automatic,AA,40mm,YellowGold,GoldenBaton,BlackRubberOysterflex,#002958,"London,UnitedKingdom",
140,14981.274,Submariner,16610LV,Yes,Yes,2008,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#002957,"London,UnitedKingdom",
141,16594.5472,Daytona,116523,Yes,Yes,2006,automatic,A,40mm,Steel&amp;18KYellowGold,Black,Steel&amp;18KYellowGold,#002947,"Hertfordshire,UnitedKingdom,UnitedKingdom",
142,6905.113600000001,Datejust,116234,Yes,Yes,2009,automatic,A,36mm,StainlessSteelandWhiteGold,BlackRomanNumeral,StainlessSteel,#002948,"London,UnitedKingdom",
143,8464.3328,Submariner,5513,No,No,1984,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#002944,"London,UnitedKingdom",
144,10079.2384,Sea-Dweller,116660,Yes,Yes,2011,automatic,AA,44mm,StainlessSteel,Black,StainlessSteelOyster,#002943,"London,UnitedKingdom",
145,8552.023500000001,OysterPerpetual41,124300,Yes,Yes,2021,automatic,A,41mm,StainlessSteel,GreenBaton,StainlessSteelOyster,#002941,"Loughton,Essex,UnitedKingdom",
146,14423.84848,GMT-MasterII,116710BLNR,Yes,Yes,2013,automatic,A,40mm,StainlessSteel,Black,StainlessSteelOyster,#002935,"London,UnitedKingdom",
147,7559.706,Datejust41,126300,Yes,Yes,2022,automatic,A,41mm,StainlessSteel,BlueBaton,StainlessSteelJubilee,#002932,"Cardiff,Wales,UnitedKingdom",
148,12885.862500000001,Yacht-Master40,126622,Yes,Yes,2021,automatic,A,40mm,StainlessSteel,Blue,StainlessSteelOyster,#002930,"London,UnitedKingdom",
149,12957.97,Submariner,126610LN,Yes,Yes,2021,automatic,AAA,41mm,StainlessSteel,Black,StainlessSteelOyster,#002922,"London,UnitedKingdom",
150,6197.289999999999,Datejust,69178,Yes,No,1989,automatic,A,26mm,YellowGold,ChampagneBaton,YellowGoldPresident,#002920,"Ilkley,NorthYorkshire,UnitedKingdom",
151,12790.079779999998,Sea-Dweller,126600,Yes,Yes,2022,automatic,A,43mm,StainlessSteel,Black,StainlessSteelOyster,#002919,"Northamptonshire,UnitedKingdom",
152,29262.476599999998,Daytona,116500LN,Yes,Yes,2022,automatic,AA,40mm,StainlessSteel,BlackBaton,StainlessSteelOyster,#,"Gloucestershire,UnitedKingdom",
153,10035.0,Lady-Datejust,279171,Yes,Yes,2022,automatic,AA,28mm,StainlessSteelandRoseGold,MotherofPearlwithDiamond,SteelandRoseGoldJubilee,#002868,"Abingdon,Oxfordshire,UnitedKingdom",
154,12851.8929,Deepsea,126660,Yes,Yes,2020,automatic,AA,44mm,StainlessSteel,Black-BlueGradient,StainlessSteelOyster,#002907,"London,UnitedKingdom",
155,47290.51500000001,Sky-Dweller,326935,Yes,Yes,2021,automatic,AA,42mm,RoseGold,RhodiumBaton,RoseGoldOyster,#002901,"Beaconsfield,Buckinghamshire,UnitedKingdom",
156,14167.206400000001,Daytona,16523,Yes,No,1996,automatic,A,40mm,StainlessSteelandYellowGold,WhiteBaton,SteelandYellowOyster,#002899,"Brighton,EastSussex,UnitedKingdom",
157,33757.796500000004,Daytona,116528,Yes,Yes,2017,automatic,A,40mm,YellowGold,BlackBaton,YellowGoldOyster,#002898,"Brighton,EastSussex,UnitedKingdom",
158,23243.073,Daytona,116520,Yes,Yes,2016,automatic,A,40mm,StainlessSteel,WhiteBaton,StainlessSteelOyster,#002894,"London,UnitedKingdom",
